# t (s),mx (),my (),mz (),B_extx (T),B_exty (T),B_extz (T),B_anisx (T),B_anisy (T),B_anisz (T),B_demagx (T),B_demagy (T),B_demagz (T),B_effx (T),B_effy (T),B_effz (T),B_exchx (T),B_exchy (T),B_exchz (T),B_customx (T),B_customy (T),B_customz (T),E_anis (J),E_demag (J),E_exch (J),E_total (J),E_Zeeman (J),E_mel (J),E_custom (J),Edens_anis (J/m3),Edens_custom (J/m3),Edens_demag (J/m3),Edens_exch (J/m3),Edens_mel (J/m3),Edens_total (J/m3),Edens_Zeeman (J/m3),ExchCoupling (arb.),F_melx (N/m3),F_mely (N/m3),F_melz (N/m3),Edens_mel (J/m3),ExchCoupling (arb.)
0,-1.38E-05,-4.97E-06,-0.005920658,0.1,0,0,0,0,-7.40E-06,6.13E-07,2.18E-07,0.005700672,0.10000062,2.18E-07,0.00569327,3.73E-11,5.12E-11,9.31E-12,0.00E+00,0.00E+00,0.00E+00,-5.86E-22,1.58E-18,3.61E-18,5.18E-18,4.43E-22,0,0,-1.4654847,0,3940.8113,9021.799,0,12962.253,1.1071875,7.80E-11,0,0,0,0,7.80E-11
0.01,0.07488582,1.94E-03,-5.70E-03,0.1,0,0,0,0,-7.13E-06,-0.005644174,-4.38E-05,5.49E-03,0.09435582,-4.38E-05,5.49E-03,-7.45E-11,1.07E-10,5.12E-11,0.00E+00,0.00E+00,0.00E+00,-3.81E-21,3.88E-18,3.65E-18,5.13E-18,-2.40E-18,0,0,-9.513105,0,9711.133,9119.834,0,12830.588,-5990.8667,7.80E-11,0,0,0,0,7.80E-11
0.02,0.23090015,6.94E-03,-4.00E-03,0.10000001,0,0,0,0,-5.00E-06,-0.01703785,-1.73E-04,3.87E-03,0.08296215,-1.73E-04,3.86E-03,-1.49E-10,-6.52E-11,-8.61E-11,0.00E+00,0.00E+00,0.00E+00,-8.52E-21,8.42E-18,3.99E-18,5.01E-18,-7.39E-18,0,0,-21.289759,0,21057.07,9965.368,0,12529.138,-18472.014,7.80E-11,0,0,0,0,7.80E-11
0.03,0.39471176,1.34E-02,1.36E-03,0.1,0,0,0,0,1.70E-06,-0.028279534,-3.70E-04,-1.26E-03,0.071720466,-3.70E-04,-1.25E-03,1.49E-10,4.66E-11,-3.45E-10,0.00E+00,0.00E+00,0.00E+00,-1.07E-20,1.26E-17,4.86E-18,4.84E-18,-1.26E-17,0,0,-26.731045,0,31573.44,12141.043,0,12110.8125,-31576.936,7.80E-11,0,0,0,0,7.80E-11
0.04,0.541771,1.25E-02,1.04E-02,0.1,0,0,0,0,1.30E-05,-0.037246652,-4.54E-04,-9.88E-03,0.06275335,-4.54E-04,-9.86E-03,2.24E-10,8.38E-11,1.86E-11,0.00E+00,0.00E+00,0.00E+00,-1.07E-20,1.55E-17,6.48E-18,4.66E-18,-1.73E-17,0,0,-26.771856,0,38812.766,16193.394,0,11637.711,-43341.676,7.80E-11,0,0,0,0,7.80E-11
0.05,0.6357169,-2.56E-03,1.34E-02,0.1,0,0,0,0,1.68E-05,-0.041670248,-1.89E-04,-1.27E-02,0.058329757,-1.89E-04,-1.27E-02,0.00E+00,-2.42E-10,1.30E-10,0.00E+00,0.00E+00,0.00E+00,-1.07E-20,1.64E-17,8.41E-18,4.50E-18,-2.03E-17,0,0,-26.698792,0,41124.508,21019.555,0,11260.005,-50857.36,7.80E-11,0,0,0,0,7.80E-11
0.06,0.6971399,-1.96E-02,6.07E-03,0.1,0,0,0,0,7.59E-06,-0.04346628,2.27E-04,-5.70E-03,0.056533724,2.27E-04,-5.69E-03,2.98E-10,2.42E-10,3.17E-10,0.00E+00,0.00E+00,0.00E+00,-1.07E-20,1.62E-17,1.04E-17,4.28E-18,-2.23E-17,0,0,-26.707405,0,40389.863,26113.078,0,10705.05,-55771.184,7.80E-11,0,0,0,0,7.80E-11
0.07,0.7430804,-2.45E-02,-3.79E-03,0.1,0,0,0,0,-4.74E-06,-0.04443922,5.01E-04,3.75E-03,0.055560775,5.01E-04,3.74E-03,1.49E-10,-7.82E-10,9.31E-11,0.00E+00,0.00E+00,0.00E+00,-1.02E-20,1.51E-17,1.27E-17,3.97E-18,-2.38E-17,0,0,-25.540333,0,37694.676,31693.965,0,9916.674,-59446.43,7.80E-11,0,0,0,0,7.80E-11
0.08,0.7725622,-1.55E-02,-7.89E-03,0.1,0,0,0,0,-9.86E-06,-0.04584602,5.81E-04,7.71E-03,0.054153986,5.81E-04,7.70E-03,0.00E+00,8.94E-10,1.49E-10,0.00E+00,0.00E+00,0.00E+00,-1.05E-20,1.38E-17,1.45E-17,3.57E-18,-2.47E-17,0,0,-26.16948,0,34596.83,36151.19,0,8916.87,-61804.98,7.80E-11,0,0,0,0,7.80E-11
0.09,0.79179436,-3.44E-03,-6.83E-03,0.1,0,0,0,0,-8.54E-06,-0.04820861,6.13E-04,6.75E-03,0.051791385,6.13E-04,6.74E-03,1.49E-10,-1.86E-10,-7.08E-10,0.00E+00,0.00E+00,0.00E+00,-9.63E-21,1.32E-17,1.52E-17,3.01E-18,-2.53E-17,0,0,-24.07549,0,32994.7,37903.688,0,7530.756,-63343.55,7.80E-11,0,0,0,0,7.80E-11
0.1,0.81910074,6.05E-03,-3.04E-03,0.1,0,0,0,0,-3.81E-06,-0.051133543,5.75E-04,3.03E-03,0.048866462,5.75E-04,3.03E-03,2.98E-10,7.45E-10,-1.06E-09,0.00E+00,0.00E+00,0.00E+00,-9.67E-21,1.36E-17,1.49E-17,2.32E-18,-2.62E-17,0,0,-24.179382,0,34024.44,37328.734,0,5800.94,-65528.06,7.80E-11,0,0,0,0,7.80E-11
0.11,0.8586831,0.015509634,3.34E-04,0.1,0,0,0,0,4.17E-07,-0.05379847,8.99E-04,-3.23E-04,0.04620153,8.99E-04,-3.23E-04,0.00E+00,1.12E-10,2.24E-10,0.00E+00,0.00E+00,0.00E+00,-9.66E-21,1.46E-17,1.44E-17,1.49E-18,-2.75E-17,0,0,-24.144651,0,36548.7,35898.2,0,3728.1074,-68694.65,7.80E-11,0,0,0,0,7.80E-11
0.12,0.8869586,0.018116351,0.006630725,0.10000001,0,0,0,0,8.29E-06,-0.054897293,2.30E-04,-0.006606771,0.045102704,2.30E-04,-0.006598484,1.49E-10,6.33E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-8.65E-21,1.47E-17,1.44E-17,7.09E-19,-2.84E-17,0,0,-21.620258,0,36753.445,35997.74,0,1772.87,-70956.69,7.80E-11,0,0,0,0,7.80E-11
0.13,0.8913331,0.009163722,1.31E-02,0.1,0,0,0,0,1.63E-05,-0.054580923,-8.64E-04,-1.29E-02,0.04541908,-8.64E-04,-1.28E-02,-2.98E-10,-4.10E-10,3.73E-11,0.00E+00,0.00E+00,0.00E+00,-7.50E-21,1.42E-17,1.43E-17,-1.62E-20,-2.85E-17,0,0,-18.742233,0,35455.92,35828.996,0,-40.47375,-71306.65,7.80E-11,0,0,0,0,7.80E-11
0.14,0.88904524,-0.003633774,0.015898712,0.1,0,0,0,0,1.99E-05,-0.05398645,-1.73E-03,-0.014053091,0.04601355,-1.73E-03,-0.014033219,-2.24E-10,2.98E-10,2.24E-10,0.00E+00,0.00E+00,0.00E+00,-5.98E-21,1.36E-17,1.41E-17,-7.23E-19,-2.84E-17,0,0,-14.938081,0,34122.21,35209.55,0,-1806.7906,-71123.61,7.80E-11,0,0,0,0,7.80E-11
0.15,0.89489394,-0.018872032,0.012326216,0.1,0,0,0,0,1.54E-05,-0.0542079,-0.000519024,-0.009889457,0.0457921,-0.000519025,-0.00987405,2.98E-10,-3.35E-10,-1.86E-10,0.00E+00,0.00E+00,0.00E+00,-6.57E-21,1.34E-17,1.38E-17,-1.42E-18,-2.86E-17,0,0,-16.421972,0,33595.023,34460.312,0,-3552.6045,-71591.516,7.80E-11,0,0,0,0,7.80E-11
0.16,0.90427077,-0.03208313,0.002661183,0.10000001,0,0,0,0,3.33E-06,-0.05509666,0.001624441,-0.002288046,0.044903345,0.001624441,-0.00228472,-7.45E-11,-1.68E-10,-1.86E-10,0.00E+00,0.00E+00,0.00E+00,-7.79E-21,1.44E-17,1.25E-17,-2.05E-18,-2.89E-17,0,0,-19.487324,0,35898.363,31331.15,0,-5131.629,-72341.664,7.80E-11,0,0,0,0,7.80E-11
0.17,0.9044064,-0.032433514,-0.007745098,0.10000001,0,0,0,0,-9.68E-06,-0.054863114,0.002285713,0.006228149,0.045136884,0.002285713,0.006218468,-2.24E-10,2.24E-10,2.98E-10,0.00E+00,0.00E+00,0.00E+00,-8.54E-21,1.47E-17,1.16E-17,-2.68E-18,-2.89E-17,0,0,-21.340334,0,36674.184,29010.672,0,-6689.0093,-72352.52,7.80E-11,0,0,0,0,7.80E-11
0.18,0.88847876,-0.01865551,-0.014241203,0.1,0,0,0,0,-1.78E-05,-0.053577904,0.000534199,0.011119299,0.0464221,0.000534199,0.011101497,-7.45E-11,7.45E-11,2.24E-10,0.00E+00,0.00E+00,0.00E+00,-8.24E-21,1.41E-17,1.11E-17,-3.25E-18,-2.84E-17,0,0,-20.600029,0,35302.016,27676.68,0,-8120.2114,-71078.31,7.80E-11,0,0,0,0,7.80E-11
0.19,0.8689032,-0.003714511,-0.01239063,0.1,0,0,0,0,-1.55E-05,-0.051050957,-0.00178906,0.009240692,0.04894904,-0.00178906,0.009225202,5.40E-10,-3.73E-11,2.98E-10,0.00E+00,0.00E+00,0.00E+00,-7.08E-21,1.31E-17,1.10E-17,-3.78E-18,-2.78E-17,0,0,-17.69577,0,32668.27,27416.562,0,-9445.119,-69512.26,7.80E-11,0,0,0,0,7.80E-11
0.2,0.8621669,-0.000103828,-0.003208333,0.10000001,0,0,0,0,-4.01E-06,-0.04786499,-0.002863203,0.002110063,0.052135013,-0.002863202,0.002106052,-2.98E-10,2.98E-10,-3.73E-10,0.00E+00,0.00E+00,0.00E+00,-6.55E-21,1.24E-17,1.09E-17,-4.27E-18,-2.76E-17,0,0,-16.372526,0,31010.523,27292.994,0,-10686.219,-68973.36,7.80E-11,0,0,0,0,7.80E-11
0.21,0.87240005,-0.009908912,0.007410985,0.1,0,0,0,0,9.26E-06,-0.045924388,-0.001946779,-0.005646538,0.054075614,-0.001946779,-0.005637272,0.00E+00,1.49E-10,-5.96E-10,0.00E+00,0.00E+00,0.00E+00,-7.59E-21,1.25E-17,1.07E-17,-4.75E-18,-2.79E-17,0,0,-18.977085,0,31169.242,26757.045,0,-11884.697,-69792.01,7.80E-11,0,0,0,0,7.80E-11
0.22,0.88816625,-0.028155047,0.010967282,0.1,0,0,0,0,1.37E-05,-0.046359375,1.35E-03,-0.008567859,0.053640623,1.35E-03,-0.008554149,1.49E-10,1.86E-10,-3.73E-10,0.00E+00,0.00E+00,0.00E+00,-7.18E-21,1.25E-17,1.07E-17,-5.21E-18,-2.84E-17,0,0,-17.943819,0,31321.7,26713.08,0,-13036.461,-71053.3,7.80E-11,0,0,0,0,7.80E-11
0.23,0.9027491,-0.04238171,0.002974661,0.10000001,0,0,0,0,3.72E-06,-0.048289534,0.00334776,-0.002525053,0.05171047,0.00334776,-0.002521334,-2.98E-10,-4.47E-10,1.12E-10,0.00E+00,0.00E+00,0.00E+00,-7.48E-21,1.26E-17,1.06E-17,-5.65E-18,-2.89E-17,0,0,-18.697578,0,31615.627,26498.82,0,-14124.173,-72219.92,7.80E-11,0,0,0,0,7.80E-11
0.24,0.91864806,-0.03512555,-0.009547937,0.1,0,0,0,0,-1.19E-05,-0.05129809,0.003248191,0.009817729,0.048701912,0.003248191,0.009805792,1.86E-10,-3.73E-11,1.86E-10,0.00E+00,0.00E+00,0.00E+00,-7.36E-21,1.27E-17,1.05E-17,-6.20E-18,-2.94E-17,0,0,-18.400581,0,31659.957,26338.693,0,-15511.604,-73491.85,7.80E-11,0,0,0,0,7.80E-11
0.25,0.93510574,-0.008477259,-0.016395044,0.10000001,0,0,0,0,-2.05E-05,-0.05425027,0.001713212,0.015511769,0.045749735,0.001713211,0.015491277,2.98E-10,-5.96E-10,-4.10E-10,0.00E+00,0.00E+00,0.00E+00,-7.66E-21,1.33E-17,9.78E-18,-6.88E-18,-2.99E-17,0,0,-19.143549,0,33158.707,24456.56,0,-17212.338,-74808.46,7.80E-11,0,0,0,0,7.80E-11
0.26,0.9466299,0.017339293,-0.012464393,0.1,0,0,0,0,-1.56E-05,-0.056264676,-0.001203573,0.011212333,0.04373532,-0.001203574,0.011196751,0.00E+00,2.98E-10,-4.10E-10,0.00E+00,0.00E+00,0.00E+00,-8.27E-21,1.37E-17,8.97E-18,-7.65E-18,-3.03E-17,0,0,-20.674433,0,34180.953,22435.244,0,-19134.867,-75730.4,7.80E-11,0,0,0,0,7.80E-11
0.27,0.946627,0.027720997,-0.003046816,0.1,0,0,0,0,-3.81E-06,-0.056245036,-0.002878631,0.002782244,0.04375497,-0.002878631,0.002778435,3.73E-11,-4.47E-10,2.24E-10,0.00E+00,0.00E+00,0.00E+00,-7.75E-21,1.34E-17,8.50E-18,-8.37E-18,-3.03E-17,0,0,-19.37948,0,33562.637,21256.678,0,-20930.23,-75730.17,7.80E-11,0,0,0,0,7.80E-11
0.28,0.93606156,0.024943376,0.004297033,0.10000001,0,0,0,0,5.37E-06,-0.054798227,-0.002717506,-0.004414416,0.045201775,-0.002717506,-0.004409045,-7.45E-11,-7.45E-11,5.22E-10,0.00E+00,0.00E+00,0.00E+00,-5.51E-21,1.25E-17,8.39E-18,-9.04E-18,-3.00E-17,0,0,-13.785793,0,31336.877,20967.484,0,-22594.35,-74884.93,7.80E-11,0,0,0,0,7.80E-11
0.29,0.9327092,0.012925855,0.009272157,0.10000001,0,0,0,0,1.16E-05,-0.05473357,-0.002190867,-0.009078505,0.04526644,-0.002190867,-0.009066915,-2.24E-10,1.86E-10,7.45E-11,0.00E+00,0.00E+00,0.00E+00,-5.80E-21,1.24E-17,7.82E-18,-9.64E-18,-2.98E-17,0,0,-14.494072,0,30983.488,19538.041,0,-24109.705,-74616.734,7.80E-11,0,0,0,0,7.80E-11
0.3,0.9441313,-0.005460323,0.012722285,0.1,0,0,0,0,1.59E-05,-0.05480024,-5.94E-04,-0.011557652,0.045199763,-5.94E-04,-0.01154175,-9.31E-11,5.59E-11,-1.49E-10,0.00E+00,0.00E+00,0.00E+00,-7.49E-21,1.30E-17,6.96E-18,-1.02E-17,-3.02E-17,0,0,-18.723928,0,32614.633,17412.205,0,-25522.398,-75530.51,7.80E-11,0,0,0,0,7.80E-11
0.31,0.9452319,-0.02595983,0.008096032,0.1,0,0,0,0,1.01E-05,-0.05358304,0.002165338,-0.008258577,0.046416953,0.002165339,-0.008248456,-1.12E-10,-7.45E-11,-1.12E-10,0.00E+00,0.00E+00,0.00E+00,-7.58E-21,1.29E-17,6.59E-18,-1.08E-17,-3.02E-17,0,0,-18.955845,0,32279.11,16469.53,0,-26888.88,-75618.56,7.80E-11,0,0,0,0,7.80E-11
0.32,0.9301687,-0.03550122,-0.003624309,0.1,0,0,0,0,-4.53E-06,-0.050836936,0.002858931,0.0013842,0.049163066,0.002858931,0.00137967,-5.59E-11,-9.31E-11,-7.45E-11,0.00E+00,0.00E+00,0.00E+00,-6.85E-21,1.20E-17,6.51E-18,-1.13E-17,-2.98E-17,0,0,-17.123848,0,30004.895,16275.669,0,-28150.053,-74413.49,7.80E-11,0,0,0,0,7.80E-11
0.33,0.91248566,-0.023308216,-0.01655993,0.1,0,0,0,0,-2.07E-05,-0.048302565,0.001120668,0.013503224,0.05169743,0.001120668,0.013482523,0.00E+00,4.47E-10,-7.45E-11,0.00E+00,0.00E+00,0.00E+00,-5.92E-21,1.14E-17,6.12E-18,-1.17E-17,-2.92E-17,0,0,-14.805683,0,28391.047,15306.379,0,-29316.234,-72998.85,7.80E-11,0,0,0,0,7.80E-11
0.34,0.90299135,0.006808023,-0.01971095,0.10000001,0,0,0,0,-2.46E-05,-0.047359154,-0.000828327,0.017995125,0.052640848,-0.000828327,0.017970484,-1.12E-10,0.00E+00,-5.03E-10,0.00E+00,0.00E+00,0.00E+00,-5.08E-21,1.08E-17,5.95E-18,-1.22E-17,-2.89E-17,0,0,-12.697315,0,26961.707,14874.985,0,-30415.314,-72239.31,7.80E-11,0,0,0,0,7.80E-11
0.35,0.910373,0.037345495,-0.015758274,0.10000001,0,0,0,0,-1.97E-05,-0.047636338,-0.002061928,0.015943,0.052363656,-0.002061928,0.015923303,7.45E-11,3.91E-10,1.49E-10,0.00E+00,0.00E+00,0.00E+00,-5.92E-21,1.09E-17,5.71E-18,-1.26E-17,-2.91E-17,0,0,-14.810354,0,27148.963,14268.028,0,-31427.66,-72829.84,7.80E-11,0,0,0,0,7.80E-11
0.36,0.927066,0.05920033,-0.006019741,0.1,0,0,0,0,-7.52E-06,-0.04898058,-0.002530079,0.006962685,0.051019426,-0.002530079,0.00695516,-9.31E-11,3.82E-10,2.42E-10,0.00E+00,0.00E+00,0.00E+00,-6.11E-21,1.13E-17,5.43E-18,-1.30E-17,-2.97E-17,0,0,-15.282645,0,28192.088,13584.781,0,-32403.695,-74165.28,7.80E-11,0,0,0,0,7.80E-11
0.37,0.9386005,0.062356606,0.006596292,0.1,0,0,0,0,8.25E-06,-0.05148952,-0.002232417,-0.004498802,0.048510484,-0.002232417,-0.004490556,-4.66E-11,-1.12E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-5.51E-21,1.15E-17,5.23E-18,-1.33E-17,-3.00E-17,0,0,-13.767703,0,28700.75,13073.676,0,-33327.37,-75088.04,7.80E-11,0,0,0,0,7.80E-11
0.38,0.9447793,0.04747011,0.015633496,0.1,0,0,0,0,1.95E-05,-0.053823657,-0.001259575,-0.012927765,0.046176344,-0.001259575,-0.012908223,1.49E-10,-2.61E-10,1.86E-10,0.00E+00,0.00E+00,0.00E+00,-5.75E-21,1.17E-17,4.85E-18,-1.37E-17,-3.02E-17,0,0,-14.3685255,0,29305.242,12117.483,0,-34173.99,-75582.35,7.80E-11,0,0,0,0,7.80E-11
0.39,0.9499439,0.019546352,0.021519335,0.1,0,0,0,0,2.69E-05,-0.054839615,-0.000164308,-0.019217446,0.045160394,-0.000164308,-0.019190548,4.89E-11,-2.24E-10,7.45E-11,0.00E+00,0.00E+00,0.00E+00,-5.18E-21,1.17E-17,4.68E-18,-1.40E-17,-3.04E-17,0,0,-12.9525175,0,29303.22,11704.378,0,-35000.867,-75995.516,7.80E-11,0,0,0,0,7.80E-11
0.4,0.95483977,-0.016112035,0.022527719,0.1,0,0,0,0,2.82E-05,-0.054820776,0.000767206,-0.020668233,0.045179226,0.000767206,-0.020640073,7.45E-11,-7.45E-11,-2.98E-10,0.00E+00,0.00E+00,0.00E+00,-5.28E-21,1.18E-17,4.49E-18,-1.43E-17,-3.06E-17,0,0,-13.207533,0,29391.244,11229.855,0,-35779.293,-76387.19,7.80E-11,0,0,0,0,7.80E-11
0.41,0.9556478,-0.04966532,0.017929593,0.1,0,0,0,0,2.24E-05,-0.054109044,1.97E-03,-0.01607987,0.04589095,1.97E-03,-0.016057458,3.73E-11,4.28E-10,1.68E-10,0.00E+00,0.00E+00,0.00E+00,-4.59E-21,1.15E-17,4.44E-18,-1.46E-17,-3.06E-17,0,0,-11.467605,0,28838.83,11097.637,0,-36526.832,-76451.83,7.80E-11,0,0,0,0,7.80E-11
0.42,0.9525499,-0.070653535,0.008901911,0.10000001,0,0,0,0,1.11E-05,-0.053842828,0.003268695,-7.91E-03,0.04615717,0.003268695,-7.90E-03,-1.63E-10,-3.73E-11,-1.12E-10,0.00E+00,0.00E+00,0.00E+00,-4.87E-21,1.15E-17,4.13E-18,-1.49E-17,-3.05E-17,0,0,-12.176228,0,28647.307,10335.517,0,-37233.344,-76203.99,7.80E-11,0,0,0,0,7.80E-11
0.43,0.9465554,-0.073262125,-0.002349906,0.1,0,0,0,0,-2.94E-06,-0.053816643,0.003213177,0.002210169,0.04618336,0.003213177,0.002207232,-1.77E-10,2.61E-10,5.59E-11,0.00E+00,0.00E+00,0.00E+00,-3.99E-21,1.10E-17,4.12E-18,-1.51E-17,-3.03E-17,0,0,-9.964494,0,27566.72,10299.718,0,-37867.953,-75724.43,7.80E-11,0,0,0,0,7.80E-11
0.44,0.9469157,-0.060014106,-0.011759129,0.1,0,0,0,0,-1.47E-05,-0.053667642,0.001667067,0.010498147,0.046332363,0.001667067,0.010483447,4.66E-12,-1.86E-11,-1.86E-10,0.00E+00,0.00E+00,0.00E+00,-4.24E-21,1.08E-17,4.11E-18,-1.54E-17,-3.03E-17,0,0,-10.609206,0,26968.047,10286.735,0,-38509.082,-75753.266,7.80E-11,0,0,0,0,7.80E-11
0.45,0.9538808,-0.038886353,-0.01576177,0.1,0,0,0,0,-1.97E-05,-0.053916316,0.000401783,0.013190543,0.04608369,0.000401783,0.013170842,-1.02E-10,1.12E-10,-7.45E-11,0.00E+00,0.00E+00,0.00E+00,-4.86E-21,1.13E-17,3.59E-18,-1.57E-17,-3.05E-17,0,0,-12.144754,0,28217.363,8976.918,0,-39128.332,-76310.47,7.80E-11,0,0,0,0,7.80E-11
0.46,0.95306915,-0.018148981,-0.013003757,0.10000001,0,0,0,0,-1.63E-05,-0.05381058,-0.000452859,0.011771686,0.046189416,-0.000452859,0.011755433,6.52E-11,2.61E-10,1.49E-10,0.00E+00,0.00E+00,0.00E+00,-4.11E-21,1.11E-17,3.52E-18,-1.59E-17,-3.05E-17,0,0,-10.27704,0,27737.404,8799.494,0,-39718.914,-76245.53,7.80E-11,0,0,0,0,7.80E-11
0.47,0.9479771,-0.001649283,-0.007457912,0.1,0,0,0,0,-9.32E-06,-0.052905828,0.000145955,0.00785714,0.047094174,0.000145955,0.007847817,0.00E+00,-7.45E-11,-7.45E-11,0.00E+00,0.00E+00,0.00E+00,-4.49E-21,1.08E-17,3.41E-18,-1.61E-17,-3.03E-17,0,0,-11.225747,0,27044.207,8520.652,0,-40284.54,-75838.17,7.80E-11,0,0,0,0,7.80E-11
0.48,0.94100624,0.008360378,-0.002367702,0.1,0,0,0,0,-2.96E-06,-0.051545214,0.001197255,0.002547749,0.04845479,0.001197255,0.002544791,3.73E-11,-3.73E-11,7.45E-11,0.00E+00,0.00E+00,0.00E+00,-3.88E-21,1.03E-17,3.50E-18,-1.63E-17,-3.01E-17,0,0,-9.708513,0,25687.914,8759.745,0,-40842.55,-75280.5,7.80E-11,0,0,0,0,7.80E-11
0.49,0.9412793,0.008879283,0.001746473,0.1,0,0,0,0,2.18E-06,-0.05106819,0.000872423,-0.002756252,0.048931804,0.000872423,-0.002754068,-2.21E-11,-2.79E-11,1.12E-10,0.00E+00,0.00E+00,0.00E+00,-3.52E-21,1.02E-17,3.38E-18,-1.65E-17,-3.01E-17,0,0,-8.789713,0,25535.672,8440.546,0,-41334.92,-75302.34,7.80E-11,0,0,0,0,7.80E-11
0.5,0.94929445,-0.000605819,0.003642151,0.10000001,0,0,0,0,4.55E-06,-0.05125306,-0.000188851,-0.005501899,0.04874694,-0.000188851,-0.005497345,3.73E-11,0.00E+00,1.49E-10,0.00E+00,0.00E+00,0.00E+00,-3.73E-21,1.06E-17,3.08E-18,-1.67E-17,-3.04E-17,0,0,-9.333072,0,26428.547,7690.926,0,-41833.414,-75943.56,7.80E-11,0,0,0,0,7.80E-11
0.51,0.9554681,-0.01165269,0.000871091,0.1,0,0,0,0,1.09E-06,-0.05232353,-3.31E-05,-0.002192089,0.047676466,-3.31E-05,-0.002191001,5.59E-11,-5.59E-11,-1.49E-10,0.00E+00,0.00E+00,0.00E+00,-4.08E-21,1.08E-17,2.83E-18,-1.69E-17,-3.06E-17,0,0,-10.202885,0,27042.055,7071.194,0,-42334.41,-76437.45,7.80E-11,0,0,0,0,7.80E-11
0.52,0.9552934,-0.013894248,-0.004367888,0.1,0,0,0,0,-5.46E-06,-0.0538521,6.92E-04,0.003458798,0.046147905,6.92E-04,0.003453338,-2.79E-11,-1.12E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,-3.88E-21,1.08E-17,2.67E-18,-1.71E-17,-3.06E-17,0,0,-9.706882,0,26963.05,6679.301,0,-42790.836,-76423.48,7.80E-11,0,0,0,0,7.80E-11
0.53,0.9528894,-0.006055272,-0.010436711,0.1,0,0,0,0,-1.30E-05,-0.05477642,0.001031894,0.008817878,0.045223583,0.001031894,0.00880483,-5.59E-11,3.73E-11,5.59E-11,0.00E+00,0.00E+00,0.00E+00,-3.33E-21,1.06E-17,2.56E-18,-1.73E-17,-3.05E-17,0,0,-8.3359375,0,26624.848,6400.7715,0,-43213.875,-76231.15,7.80E-11,0,0,0,0,7.80E-11
0.54,0.9541275,0.011894438,-0.015971804,0.1,0,0,0,0,-2.00E-05,-0.05477452,-1.16E-04,0.013048082,0.045225482,-1.16E-04,0.013028119,8.38E-11,-1.12E-10,-2.24E-10,0.00E+00,0.00E+00,0.00E+00,-2.96E-21,1.05E-17,2.59E-18,-1.74E-17,-3.05E-17,0,0,-7.396076,0,26249.967,6473.7715,0,-43613.863,-76330.21,7.80E-11,0,0,0,0,7.80E-11
0.55,0.9595494,0.03769208,-0.017815217,0.10000001,0,0,0,0,-2.23E-05,-0.054644868,-0.002466272,0.015046419,0.045355137,-0.002466272,0.015024151,-1.40E-11,0.00E+00,1.12E-10,0.00E+00,0.00E+00,0.00E+00,-3.22E-21,1.06E-17,2.54E-18,-1.76E-17,-3.07E-17,0,0,-8.056916,0,26401.63,6348.535,0,-44021.85,-76763.96,7.80E-11,0,0,0,0,7.80E-11
0.56,0.9622673,0.062113237,-0.011908373,0.1,0,0,0,0,-1.49E-05,-0.05462944,-0.004099266,0.010938788,0.045370564,-0.004099266,0.010923903,-1.06E-10,1.77E-10,-9.31E-11,0.00E+00,0.00E+00,0.00E+00,-3.27E-21,1.06E-17,2.44E-18,-1.78E-17,-3.08E-17,0,0,-8.17575,0,26477.977,6111.6826,0,-44399.906,-76981.39,7.80E-11,0,0,0,0,7.80E-11
0.57,0.9606206,0.07608212,5.64E-05,0.1,0,0,0,0,7.05E-08,-0.05422041,-0.004122668,0.00154566,0.04577959,-0.004122667,0.001545729,2.68E-11,1.12E-10,-2.24E-10,0.00E+00,0.00E+00,0.00E+00,-3.45E-21,1.03E-17,2.48E-18,-1.79E-17,-3.07E-17,0,0,-8.614367,0,25855.617,6200.57,0,-44802.074,-76849.65,7.80E-11,0,0,0,0,7.80E-11
0.58,0.9573032,0.071862355,0.010806951,0.1,0,0,0,0,1.35E-05,-0.053364582,-0.002942149,-0.008041783,0.04663541,-0.002942149,-0.008028274,-7.92E-11,2.33E-10,1.86E-10,0.00E+00,0.00E+00,0.00E+00,-2.42E-21,9.75E-18,2.83E-18,-1.81E-17,-3.06E-17,0,0,-6.044018,0,24375.45,7076.8145,0,-45138.05,-76584.27,7.80E-11,0,0,0,0,7.80E-11
0.59,0.9628502,0.05060043,0.018291313,0.1,0,0,0,0,2.29E-05,-0.05359067,-0.00093902,-0.01531489,0.04640933,-0.00093902,-0.015292024,-9.31E-12,2.33E-10,-5.59E-11,0.00E+00,0.00E+00,0.00E+00,-2.71E-21,1.00E-17,2.62E-18,-1.82E-17,-3.08E-17,0,0,-6.773839,0,25011.65,6538.6006,0,-45484.54,-77028.01,7.80E-11,0,0,0,0,7.80E-11
0.6,0.97123396,0.02376594,0.019234069,0.10000001,0,0,0,0,2.40E-05,-0.054514457,5.74E-04,-0.017052617,0.045485545,5.74E-04,-0.017028572,3.26E-11,-1.86E-11,2.24E-10,0.00E+00,0.00E+00,0.00E+00,-3.44E-21,1.06E-17,2.20E-18,-1.83E-17,-3.11E-17,0,0,-8.592491,0,26388.768,5506.886,0,-45811.664,-77698.72,7.80E-11,0,0,0,0,7.80E-11
